kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.58,589,-44.6869,-7.8475,32.66,38.71,61.29,0.17,50.76,36.16,63.84,0.1555,0.3292
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,12.82,78,-12.8614,-1.6351,73.49,43.59,56.41,2.56,42.31,41.03,58.97,0.0576,-1.0027
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,35.84,53,-1.0623,-0.0887,52.68,32.08,67.92,39.62,58.49,20.75,79.25,0.1378,0.6771
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,4.96,101,146.8517,5.0924,50.0,47.52,52.48,0.0,53.47,39.6,60.4,0.0209,-0.4013
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,17.86,56,12.6701,0.9818,63.29,58.93,41.07,16.07,62.5,55.36,44.64,-0.1341,-2.7721
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.22,589,-44.6869,-7.8475,32.66,39.39,60.61,0.68,50.93,37.35,62.65,0.2727,0.7022
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,13.16,76,-12.8614,-1.7248,73.35,43.42,56.58,10.53,43.42,50.0,50.0,0.0971,-2.3602
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,66.04,53,-1.0623,-0.0887,52.68,16.98,83.02,60.38,67.92,26.42,73.58,0.2301,0.6114
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,2.98,101,146.8517,5.0924,50.0,51.49,48.51,1.98,52.48,41.58,58.42,-0.0521,-1.3284
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,17.86,56,12.6701,0.9818,63.29,58.93,41.07,30.36,67.86,58.93,41.07,-0.2212,-5.3449
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.12,589,-44.6869,-7.8475,32.66,42.44,57.56,0.85,47.88,38.71,61.29,0.3429,0.7935
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,35.14,74,-12.7862,-1.7952,73.27,32.43,67.57,14.86,37.84,52.7,47.3,0.5281,-3.7858
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,73.58,53,-1.0623,-0.0887,52.68,13.21,86.79,52.83,64.15,32.08,67.92,0.3268,-0.2978
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,2.98,101,146.8517,5.0924,50.0,48.51,51.49,3.96,53.47,45.54,54.46,0.0192,-1.8417
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,14.28,56,12.6701,0.9818,63.29,57.14,42.86,37.5,71.43,62.5,37.5,-0.2091,-7.781
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.78,589,-44.6869,-7.8475,32.66,42.61,57.39,2.89,46.52,40.24,59.76,0.4142,0.8663
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,31.5,73,-12.7827,-1.7968,73.25,34.25,65.75,17.81,39.73,53.42,46.58,0.6159,-6.3196
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,68.0,50,-1.0935,-0.0888,51.63,16.0,84.0,46.0,60.0,30.0,70.0,0.9935,0.8402
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,20.8,101,146.8517,5.0924,50.0,60.4,39.6,4.95,55.45,52.48,47.52,-0.5493,-3.9264
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,23.64,55,13.2845,0.9831,63.11,61.82,38.18,67.27,92.73,65.45,34.55,-0.2142,-16.4923
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,14.28,56,-27.5722,-2.8163,10.66,57.14,42.86,0.0,57.14,26.79,73.21,-0.0432,0.6873
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.74,458,-12.1331,-1.2717,30.86,50.87,49.13,4.59,50.0,32.1,67.9,-0.006,-0.3136
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,53.24,154,-0.3246,-0.0375,47.75,23.38,76.62,39.61,54.55,38.31,61.69,0.2132,-0.1163
