kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,18.82,1079,-30.8534,-7.2347,51.84,40.59,59.41,0.0,49.3,32.99,67.01,0.1494,-0.0218
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.3,286,-7.9173,-1.5301,66.88,46.85,53.15,3.5,54.9,31.12,68.88,0.0248,-0.0098
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,60.0,75,0.1789,0.0313,70.4,20.0,80.0,34.67,46.67,37.33,62.67,0.1816,0.0545
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,14.5,1214,39.5324,5.0429,84.44,42.75,57.25,0.25,47.86,38.22,61.78,0.1036,0.2271
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,17.48,269,10.5066,1.6647,74.56,41.26,58.74,3.35,43.12,30.86,69.14,0.0973,0.4231
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.86,1077,-30.8956,-7.2032,51.86,44.57,55.43,0.46,50.23,34.54,65.46,0.1762,-0.0409
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,13.28,286,-7.9173,-1.5301,66.88,43.36,56.64,8.04,53.15,34.27,65.73,0.1395,0.2678
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,78.66,75,0.1789,0.0313,70.4,10.67,89.33,29.33,36.0,37.33,62.67,0.7137,0.6381
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.14,1214,39.5324,5.0429,84.44,48.43,51.57,0.58,47.94,44.4,55.6,0.0378,0.7083
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,24.9,269,10.5066,1.6647,74.56,37.55,62.45,9.29,41.64,36.06,63.94,0.3288,0.7335
