kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.38,1371,-33.1315,-10.0381,46.37,39.31,60.69,0.0,46.24,36.4,63.6,0.1539,-0.146
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.76,206,-6.7965,-1.2882,73.17,46.12,53.88,4.37,51.46,35.44,64.56,0.0301,0.2894
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,56.16,73,0.0927,0.0147,79.98,21.92,78.08,43.84,47.95,35.62,64.38,0.2439,0.1585
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.0,325,19.4929,2.9376,89.89,52.0,48.0,0.0,55.08,45.85,54.15,-0.023,-0.1003
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,1.24,162,5.7882,1.052,81.98,50.62,49.38,9.26,54.32,38.89,61.11,-0.0106,-0.3886
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,12.62,1371,-33.1315,-10.0381,46.37,43.69,56.31,0.07,45.66,38.88,61.12,0.1614,-0.4108
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.78,204,-6.8126,-1.2882,73.13,44.61,55.39,13.73,51.47,39.71,60.29,0.0745,0.51
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,58.9,73,0.0927,0.0147,79.98,20.55,79.45,43.84,50.68,35.62,64.38,0.3853,1.1467
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.76,325,19.4929,2.9376,89.89,55.38,44.62,2.15,57.54,51.08,48.92,-0.129,-0.4125
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,3.7,162,5.7882,1.052,81.98,48.15,51.85,18.52,56.17,43.83,56.17,0.034,-0.8716
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.98,1370,-33.132,-10.04,46.28,44.01,55.99,0.22,45.11,39.27,60.73,0.1781,-0.6688
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.34,203,-6.7687,-1.2703,73.16,44.83,55.17,18.72,52.22,45.81,54.19,0.1542,0.4228
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,83.56,73,0.0927,0.0147,79.98,8.22,91.78,46.58,50.68,38.36,61.64,0.6784,2.2135
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,12.0,325,19.4929,2.9376,89.89,56.0,44.0,4.62,56.92,55.38,44.62,-0.2012,-0.9389
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,14.82,162,5.7882,1.052,81.98,42.59,57.41,23.46,55.56,43.21,56.79,0.1214,-0.7336
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.16,1365,-33.1487,-10.0722,45.93,42.42,57.58,1.03,39.85,41.61,58.39,0.381,-1.2974
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,25.12,203,-6.7687,-1.2703,73.16,37.44,62.56,32.02,52.71,37.44,62.56,0.4103,1.0278
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,80.82,73,0.0927,0.0147,79.98,9.59,90.41,43.84,49.32,41.1,58.9,1.4028,4.3696
