kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,12.76,1043,-30.0497,-7.104,36.14,43.62,56.38,0.19,51.1,33.94,66.06,0.1058,0.1066
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,8.52,352,-8.5648,-1.5256,64.31,45.74,54.26,3.98,48.01,39.2,60.8,0.0554,0.0207
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,54.72,106,-0.116,-0.0223,57.01,22.64,77.36,33.02,48.11,35.85,64.15,0.2329,0.2559
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,2.52,478,51.7096,3.7125,78.87,51.26,48.74,0.0,53.35,48.12,51.88,-0.0174,-0.1425
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.88,386,13.4918,1.4329,70.68,44.56,55.44,4.4,50.26,35.75,64.25,0.0505,0.4656
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.9,1042,-30.0581,-7.1079,36.12,44.05,55.95,0.29,49.42,33.59,66.41,0.1614,0.2533
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,14.52,351,-8.5403,-1.5219,64.31,42.74,57.26,8.83,44.44,42.45,57.55,0.1313,-0.0311
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,79.24,106,-0.116,-0.0223,57.01,10.38,89.62,39.62,47.17,41.51,58.49,0.4066,1.7025
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,14.64,478,51.7096,3.7125,78.87,57.32,42.68,0.21,53.56,59.21,40.79,-0.1745,-0.1445
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,15.02,386,13.4918,1.4329,70.68,42.49,57.51,11.66,49.48,38.86,61.14,0.1184,0.905
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.56,1042,-30.0581,-7.1079,36.12,44.72,55.28,0.77,49.14,36.47,63.53,0.203,0.3491
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,16.9,349,-8.5126,-1.5158,64.3,41.55,58.45,13.18,49.28,39.83,60.17,0.1237,0.4251
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,83.02,106,-0.116,-0.0223,57.01,8.49,91.51,41.51,45.28,40.57,59.43,0.5212,1.1951
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,15.06,478,51.7096,3.7125,78.87,57.53,42.47,0.84,54.6,59.83,40.17,-0.2535,-0.05
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,15.02,386,13.4918,1.4329,70.68,42.49,57.51,12.95,48.96,37.31,62.69,0.2749,1.4841
