kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.82,2920,-19.2519,-6.4239,42.95,42.09,57.91,0.03,49.93,32.26,67.74,0.099,-0.0169
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.04,880,-4.7252,-1.5334,58.79,46.48,53.52,3.98,48.52,35.68,64.32,0.0508,-0.0674
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,53.36,283,0.0453,0.0156,64.01,23.32,76.68,36.75,49.82,35.69,64.31,0.1899,0.102
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.54,1526,26.6234,4.4871,79.09,48.23,51.77,0.13,52.42,42.86,57.14,0.0251,0.1697
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.06,813,5.4674,1.46,68.08,47.97,52.03,4.43,50.68,36.65,63.35,0.0278,0.0438
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.32,2918,-19.262,-6.4255,42.94,47.84,52.16,0.45,50.96,35.26,64.74,0.0516,0.0138
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,20.22,880,-4.7252,-1.5334,58.79,39.89,60.11,9.77,45.23,40.57,59.43,0.1693,-0.336
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,71.74,283,0.0453,0.0156,64.01,14.13,85.87,40.99,49.12,36.04,63.96,0.4144,0.2025
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.3,1526,26.6234,4.4871,79.09,53.15,46.85,0.92,55.18,48.89,51.11,-0.0842,0.4827
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.96,813,5.4674,1.46,68.08,45.02,54.98,11.44,49.45,39.36,60.64,0.1159,0.1915
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.18,2916,-19.264,-6.4302,42.94,47.91,52.09,0.96,51.44,36.15,63.85,0.0688,0.0228
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,24.1,880,-4.7252,-1.5334,58.79,37.95,62.05,15.45,43.18,41.93,58.07,0.2551,-0.4459
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,82.34,283,0.0453,0.0156,64.01,8.83,91.17,42.4,48.41,38.87,61.13,0.6703,0.2174
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,11.4,1526,26.6234,4.4871,79.09,55.7,44.3,2.03,55.11,52.42,47.58,-0.1624,0.864
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.92,813,5.4674,1.46,68.08,43.54,56.46,16.85,52.4,42.31,57.69,0.1299,0.2895
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,0.44,2911,-19.2642,-6.436,42.92,50.22,49.78,2.47,52.32,38.96,61.04,-0.013,-0.0981
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,27.72,880,-4.7252,-1.5334,58.79,36.14,63.86,23.86,45.68,43.98,56.02,0.4815,-0.154
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,85.16,283,0.0453,0.0156,64.01,7.42,92.58,49.82,53.0,44.17,55.83,1.0264,0.3812
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,16.52,1526,26.6234,4.4871,79.09,58.26,41.74,4.85,54.91,51.97,48.03,-0.2773,1.4521
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,25.96,813,5.4674,1.46,68.08,37.02,62.98,23.74,50.18,44.77,55.23,0.4789,1.0737
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中强,27.06,340,-10.8119,-2.7402,10.44,63.53,36.47,0.29,54.12,32.35,67.65,-0.127,-0.108
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,4.94,2529,-4.2322,-1.146,30.65,52.47,47.53,5.89,50.65,30.45,69.55,-0.0215,-0.0254
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,51.22,1144,-0.0107,-0.0031,44.51,24.39,75.61,36.01,48.78,33.22,66.78,0.1818,0.0379
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,32.38,210,12.1087,2.7472,82.61,66.19,33.81,0.48,50.48,69.05,30.95,-0.2378,1.0308
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,8.04,2199,4.1309,1.1017,58.52,54.02,45.98,6.68,52.52,41.11,58.89,-0.0506,0.0255
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,44.12,340,-10.8119,-2.7402,10.44,72.06,27.94,1.47,54.41,32.35,67.65,-0.4762,0.0508
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,7.64,2529,-4.2322,-1.146,30.65,53.82,46.18,15.94,50.06,33.93,66.07,-0.0688,-0.1602
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,71.8,1142,-0.0143,-0.0036,44.52,14.1,85.9,43.43,49.56,37.04,62.96,0.4582,0.1871
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,47.62,210,12.1087,2.7472,82.61,73.81,26.19,3.81,48.1,78.57,21.43,-0.5948,3.4334
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,11.96,2199,4.1309,1.1017,58.52,55.98,44.02,18.92,54.39,45.38,54.62,-0.1258,0.0669
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,60.0,340,-10.8119,-2.7402,10.44,80.0,20.0,6.76,58.82,29.41,70.59,-0.7634,0.6053
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,8.02,2529,-4.2322,-1.146,30.65,54.01,45.99,23.84,48.56,34.84,65.16,-0.0863,-0.2936
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,78.44,1141,-0.015,-0.0038,44.51,10.78,89.22,43.21,48.12,39.53,60.47,0.6198,0.3375
中值,middle,短期拉伸/回归,中值上侧极端,5,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,61.9,210,12.1087,2.7472,82.61,80.95,19.05,9.52,48.1,83.81,16.19,-0.8714,5.5116
中值,middle,短期拉伸/回归,中值上侧偏离,5,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,12.74,2198,4.1308,1.1013,58.52,56.37,43.63,27.66,54.69,48.64,51.36,-0.1275,0.1291
中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,82.94,340,-10.8119,-2.7402,10.44,91.47,8.53,19.71,58.82,27.94,72.06,-1.4143,1.0012
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.52,2529,-4.2322,-1.146,30.65,54.76,45.24,36.22,48.79,36.1,63.9,-0.117,-0.4701
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,83.68,1140,-0.0155,-0.0039,44.51,8.16,91.84,47.89,48.68,41.05,58.95,0.7925,0.5699
中值,middle,短期拉伸/回归,中值上侧极端,10,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,75.24,210,12.1087,2.7472,82.61,87.62,12.38,24.29,48.57,87.62,12.38,-1.4838,9.0536
中值,middle,短期拉伸/回归,中值上侧偏离,10,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,7.94,2194,4.1308,1.1013,58.53,53.97,46.03,42.3,53.69,52.1,47.9,-0.0976,0.4891
