kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.02,493,-40.5933,-6.2824,48.23,41.99,58.01,0.0,47.87,36.71,63.29,0.1553,0.1566
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,14.1,156,-10.7838,-1.5046,76.18,42.95,57.05,3.21,42.95,44.23,55.77,0.0931,-0.4182
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,10,-0.3165,-0.0542,91.16,0.0,100.0,10.0,30.0,60.0,40.0,0.3779,-2.723
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,27.28,22,18.849,1.7531,94.39,63.64,36.36,4.55,68.18,63.64,36.36,-0.1827,-0.9974
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,25.0,8,5.21,0.4478,77.95,37.5,62.5,25.0,62.5,37.5,62.5,0.2309,-0.8905
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.02,493,-40.5933,-6.2824,48.23,41.99,58.01,0.0,47.87,38.34,61.66,0.2035,0.4273
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.8,156,-10.7838,-1.5046,76.18,39.1,60.9,6.41,37.82,49.36,50.64,0.3206,-1.1514
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,80.0,10,-0.3165,-0.0542,91.16,10.0,90.0,10.0,20.0,60.0,40.0,0.7073,-4.6177
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,10.0,20,19.9162,1.7555,95.0,55.0,45.0,5.0,55.0,55.0,45.0,-0.1888,-1.6067
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,50.0,8,5.21,0.4478,77.95,25.0,75.0,62.5,75.0,75.0,25.0,0.4517,-8.4662
