kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,29.74,538,-51.0178,-12.2824,45.85,35.13,64.87,0.37,47.96,34.2,65.8,0.1876,0.0622
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,13.2,106,-14.4848,-1.6016,64.83,43.4,56.6,1.89,43.4,40.57,59.43,0.1036,-0.6701
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,77.78,9,-0.3378,-0.0392,88.28,11.11,88.89,22.22,22.22,66.67,33.33,0.438,0.3232
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,16.66,12,11.5369,1.0356,98.32,58.33,41.67,33.33,83.33,91.67,8.33,-0.1788,-9.3408
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,28.74,536,-51.0397,-12.2873,45.83,35.63,64.37,0.37,45.52,34.51,65.49,0.3357,-0.2605
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,11.32,106,-14.4848,-1.6016,64.83,44.34,55.66,5.66,43.4,40.57,59.43,0.1261,-1.0156
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,77.78,9,-0.3378,-0.0392,88.28,11.11,88.89,33.33,33.33,100.0,0.0,0.9848,-4.9811
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,0.0,12,11.5369,1.0356,98.32,50.0,50.0,58.33,75.0,75.0,25.0,0.0681,-15.4169
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,29.58,534,-51.1025,-12.2961,45.78,35.21,64.79,0.75,40.45,35.02,64.98,0.5381,-0.7096
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,9.44,106,-14.4848,-1.6016,64.83,45.28,54.72,5.66,42.45,40.57,59.43,0.109,-1.7303
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,9,-0.3378,-0.0392,88.28,0.0,100.0,33.33,33.33,77.78,22.22,1.5582,-8.5563
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,16.66,12,11.5369,1.0356,98.32,41.67,58.33,75.0,91.67,100.0,0.0,0.2985,-21.4263
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.56,529,-51.2192,-12.3242,45.42,42.72,57.28,0.76,42.16,38.94,61.06,0.7506,-2.268
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,22.64,106,-14.4848,-1.6016,64.83,38.68,61.32,10.38,33.96,35.85,64.15,0.4162,-3.4445
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,9,-0.3378,-0.0392,88.28,0.0,100.0,55.56,55.56,100.0,0.0,1.3292,-13.8528
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,66.66,12,11.5369,1.0356,98.32,16.67,83.33,100.0,100.0,100.0,0.0,0.5842,-29.4531
