kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.06,1059,-39.8301,-10.0033,37.0,39.47,60.53,0.09,48.82,36.07,63.93,0.1587,-0.0867
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,8.24,194,-9.9968,-1.5879,66.53,45.88,54.12,2.58,46.91,37.63,62.37,0.0456,-0.4532
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,44.82,58,-0.034,-0.0053,71.4,27.59,72.41,37.93,56.9,39.66,60.34,0.1891,-1.063
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.26,246,71.437,4.2325,81.11,51.63,48.37,0.0,56.91,47.56,52.44,-0.0249,0.2448
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,2.66,113,16.3839,1.6283,74.49,48.67,51.33,0.88,48.67,31.86,68.14,0.0291,0.1643
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.28,1057,-39.8172,-9.9765,37.01,39.36,60.64,0.28,46.64,39.64,60.36,0.2653,-0.3249
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,17.52,194,-9.9968,-1.5879,66.53,41.24,58.76,7.22,43.3,39.18,60.82,0.1567,-1.32
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,58.62,58,-0.034,-0.0053,71.4,20.69,79.31,44.83,60.34,44.83,55.17,0.2905,-1.179
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.06,246,71.437,4.2325,81.11,52.03,47.97,0.81,56.5,51.22,48.78,-0.1169,0.2473
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,7.96,113,16.3839,1.6283,74.49,46.02,53.98,8.85,48.67,23.89,76.11,0.0628,1.6777
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.62,1055,-39.7958,-9.9655,37.03,40.19,59.81,0.66,45.31,41.04,58.96,0.4263,-0.6327
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,18.56,194,-9.9968,-1.5879,66.53,40.72,59.28,8.25,40.72,41.24,58.76,0.2349,-1.8291
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,55.18,58,-0.034,-0.0053,71.4,22.41,77.59,51.72,56.9,43.1,56.9,0.5925,1.1757
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.94,246,71.437,4.2325,81.11,54.47,45.53,1.63,55.69,51.22,48.78,-0.1689,0.5562
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,4.42,113,16.3839,1.6283,74.49,47.79,52.21,12.39,53.1,28.32,71.68,0.0584,1.2896
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.8,1050,-39.7528,-9.9446,37.19,42.1,57.9,1.43,42.67,39.62,60.38,0.6107,-0.9649
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,20.62,194,-9.9968,-1.5879,66.53,39.69,60.31,7.73,40.21,43.3,56.7,0.4799,-3.7569
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,82.76,58,-0.034,-0.0053,71.4,8.62,91.38,36.21,41.38,39.66,60.34,1.227,1.5302
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,24.4,246,71.437,4.2325,81.11,62.2,37.8,3.66,58.13,59.35,40.65,-0.6111,1.5308
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,23.9,113,16.3839,1.6283,74.49,38.05,61.95,17.7,50.44,23.89,76.11,0.3274,1.6972
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,弱,7.82,128,-19.7397,-2.66,9.37,53.91,46.09,0.0,51.56,33.59,66.41,-0.0217,0.0611
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.62,803,-8.4293,-1.2671,32.18,49.69,50.31,4.11,46.95,31.01,68.99,0.0065,-0.4309
