kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.96,1002,-40.3198,-8.2872,46.72,40.02,59.98,0.0,47.41,37.43,62.57,0.168,-0.0597
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,24.64,138,-11.4266,-1.5749,68.4,37.68,62.32,4.35,42.03,38.41,61.59,0.1265,-0.6031
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,55.56,54,0.5527,0.0676,81.63,22.22,77.78,44.44,53.7,35.19,64.81,0.1702,0.35
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.64,368,73.6476,3.8967,92.06,49.18,50.82,0.27,53.8,44.29,55.71,0.0058,0.3526
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,0.0,122,22.4678,1.6797,75.61,50.0,50.0,3.28,54.92,34.43,65.57,-0.0007,0.169
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.6,1000,-40.3744,-8.3262,46.64,42.2,57.8,0.3,46.6,39.4,60.6,0.2643,-0.2219
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,31.88,138,-11.4266,-1.5749,68.4,34.06,65.94,8.7,39.86,50.0,50.0,0.2618,-1.5686
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,51.86,54,0.5527,0.0676,81.63,24.07,75.93,46.3,53.7,38.89,61.11,0.5026,1.7014
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,14.68,368,73.6476,3.8967,92.06,57.34,42.66,0.54,57.34,52.99,47.01,-0.1972,0.9341
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.2,122,22.4678,1.6797,75.61,45.9,54.1,9.02,50.82,30.33,69.67,0.0771,1.3104
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,18.04,998,-40.3881,-8.333,46.55,40.98,59.02,0.6,46.29,40.08,59.92,0.3493,-0.4205
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,26.08,138,-11.4266,-1.5749,68.4,36.96,63.04,7.97,38.41,50.0,50.0,0.4836,-2.4949
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,74.08,54,0.5527,0.0676,81.63,12.96,87.04,38.89,50.0,46.3,53.7,0.682,5.6736
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,19.56,368,73.6476,3.8967,92.06,59.78,40.22,1.9,58.42,50.54,49.46,-0.2963,1.3731
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,14.76,122,22.4678,1.6797,75.61,42.62,57.38,13.11,46.72,30.33,69.67,0.2106,1.9538
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.96,993,-40.4922,-8.3693,46.49,45.52,54.48,1.11,45.62,39.78,60.22,0.3224,-0.9564
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,57.98,138,-11.4266,-1.5749,68.4,21.01,78.99,11.59,30.43,61.59,38.41,0.9207,-1.547
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,85.18,54,0.5527,0.0676,81.63,7.41,92.59,46.3,50.0,38.89,61.11,1.3383,14.9885
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,强,31.52,368,73.6476,3.8967,92.06,65.76,34.24,3.8,60.05,52.45,47.55,-0.5811,2.2518
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.84,122,22.4678,1.6797,75.61,45.08,54.92,22.95,52.46,31.97,68.03,0.1503,1.9992
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,26.48,68,-22.91,-2.7667,15.28,63.24,36.76,0.0,52.94,27.94,72.06,-0.1334,0.2035
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.36,891,-10.3798,-1.3105,40.47,48.82,51.18,5.05,46.58,31.99,68.01,0.0143,-0.109
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,51.06,282,0.1512,0.0203,59.16,24.47,75.53,39.36,56.38,40.07,59.93,0.2409,0.148
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,29.88,77,22.5945,2.4133,90.82,64.94,35.06,0.0,49.35,67.53,32.47,-0.2792,0.5765
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,15.84,366,8.3148,0.9509,72.47,57.92,42.08,9.84,56.28,50.0,50.0,-0.1047,0.0638
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,41.18,68,-22.91,-2.7667,15.28,70.59,29.41,1.47,52.94,22.06,77.94,-0.4274,0.4534
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.78,889,-10.3328,-1.3102,40.49,50.39,49.61,11.47,46.12,31.95,68.05,-0.0115,-0.0492
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,72.34,282,0.1512,0.0203,59.16,13.83,86.17,45.39,53.19,43.97,56.03,0.4359,-0.0938
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,66.24,77,22.5945,2.4133,90.82,83.12,16.88,0.0,64.94,87.01,12.99,-0.8764,-1.0088
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.84,366,8.3148,0.9509,72.47,54.92,45.08,25.68,56.56,61.75,38.25,-0.0806,0.7491
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,55.88,68,-22.91,-2.7667,15.28,77.94,22.06,2.94,54.41,26.47,73.53,-0.668,-0.1884
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,8.46,887,-10.3798,-1.3078,40.61,54.23,45.77,16.23,46.79,29.65,70.35,-0.122,0.2366
