kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.0,759,-33.7504,-6.1368,35.19,41.5,58.5,0.13,51.38,34.65,65.35,0.1156,0.0755
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.34,290,-8.4482,-1.2666,63.2,44.83,55.17,4.14,47.59,35.86,64.14,0.0661,0.0177
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,58.42,101,0.2476,0.041,70.98,20.79,79.21,30.69,44.55,33.66,66.34,0.1975,0.5678
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.44,464,34.0133,3.5056,89.41,51.72,48.28,1.51,52.8,46.77,53.23,-0.0177,-0.1176
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.34,203,12.4188,1.5625,73.92,44.83,55.17,4.93,46.31,33.99,66.01,0.0673,0.1723
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.14,757,-33.7401,-6.127,35.4,42.93,57.07,0.66,48.88,36.72,63.28,0.1458,0.4049
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.42,290,-8.4482,-1.2666,63.2,43.79,56.21,11.38,48.62,38.97,61.03,0.1424,-0.0593
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,68.32,101,0.2476,0.041,70.98,15.84,84.16,43.56,49.5,42.57,57.43,0.5072,-0.2396
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.76,464,34.0133,3.5056,89.41,53.88,46.12,2.59,52.16,54.53,45.47,-0.0855,-0.201
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,20.2,203,12.4188,1.5625,73.92,39.9,60.1,11.33,44.83,36.45,63.55,0.1542,0.7686
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.0,755,-33.6482,-6.1256,35.61,44.5,55.5,1.32,48.87,36.42,63.58,0.2437,0.6631
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,13.8,290,-8.4482,-1.2666,63.2,43.1,56.9,16.9,53.1,37.24,62.76,0.114,0.2853
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,88.12,101,0.2476,0.041,70.98,5.94,94.06,39.6,45.54,39.6,60.4,0.6911,-0.9677
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.34,464,34.0133,3.5056,89.41,55.17,44.83,4.31,53.45,54.96,45.04,-0.148,-0.2132
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,16.26,203,12.4188,1.5625,73.92,41.87,58.13,14.78,48.77,34.98,65.02,0.2322,0.7203
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.0,750,-33.5465,-6.1113,35.85,46.0,54.0,3.87,50.0,38.0,62.0,0.1627,1.4035
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,28.96,290,-8.4482,-1.2666,63.2,35.52,64.48,23.79,50.0,41.38,58.62,0.4365,0.5091
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,96.04,101,0.2476,0.041,70.98,1.98,98.02,43.56,44.55,42.57,57.43,0.9445,-2.2849
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,11.64,464,34.0133,3.5056,89.41,55.82,44.18,9.27,56.03,59.7,40.3,-0.2415,0.0612
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,强,30.04,203,12.4188,1.5625,73.92,34.98,65.02,20.69,45.81,43.84,56.16,0.4871,0.3627
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,15.0,80,-21.9153,-2.5727,13.02,57.5,42.5,1.25,52.5,30.0,70.0,-0.078,1.2609
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.48,812,-8.8621,-1.2321,37.21,50.74,49.26,4.43,50.99,31.28,68.72,-0.0082,-0.1688
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,54.68,278,-0.0465,-0.0059,50.61,22.66,77.34,33.09,47.48,34.53,65.47,0.2318,0.3455
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,71.42,35,24.4631,2.7236,81.19,85.71,14.29,0.0,74.29,71.43,28.57,-0.4475,-1.1212
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,6.86,612,9.4295,1.2658,64.47,53.43,46.57,6.7,50.98,47.06,52.94,-0.0508,0.1301
