kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,18.96,1123,-26.3577,-7.2509,32.47,40.52,59.48,0.09,48.8,35.17,64.83,0.1364,0.0147
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.12,306,-6.5229,-1.2901,60.66,44.44,55.56,7.52,48.37,36.27,63.73,0.099,0.1334
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,50.0,128,0.277,0.0429,58.37,25.0,75.0,31.25,47.66,39.84,60.16,0.1795,-0.4001
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.3,462,39.2872,4.0116,85.98,50.65,49.35,0.0,54.55,46.97,53.03,-0.0081,0.0232
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,3.98,377,7.8102,1.3731,70.95,51.99,48.01,3.45,54.38,39.52,60.48,-0.025,-0.0096
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.3,1121,-26.3673,-7.2522,32.47,43.35,56.65,0.62,47.55,37.91,62.09,0.1878,0.0363
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,15.68,306,-6.5229,-1.2901,60.66,42.16,57.84,13.07,47.71,38.24,61.76,0.2677,0.3955
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,73.44,128,0.277,0.0429,58.37,13.28,86.72,42.19,50.78,38.28,61.72,0.4811,0.586
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.38,462,39.2872,4.0116,85.98,55.19,44.81,0.0,54.76,50.65,49.35,-0.1051,-0.029
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.92,377,7.8102,1.3731,70.95,51.46,48.54,11.67,56.23,46.68,53.32,-0.0211,-0.5354
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,9.02,1119,-26.3803,-7.2523,32.46,45.49,54.51,1.25,48.35,38.87,61.13,0.1465,0.0837
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,20.26,306,-6.5229,-1.2901,60.66,39.87,60.13,18.63,50.65,44.12,55.88,0.2761,0.7087
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,76.56,128,0.277,0.0429,58.37,11.72,88.28,45.31,53.13,36.72,63.28,0.8571,1.1063
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,12.12,462,39.2872,4.0116,85.98,56.06,43.94,0.0,55.84,51.73,48.27,-0.1283,0.0344
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.22,377,7.8102,1.3731,70.95,54.11,45.89,18.57,59.95,47.75,52.25,-0.0706,-1.1673
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.18,1114,-26.4811,-7.2877,32.36,46.41,53.59,3.14,44.7,37.7,62.3,0.1697,0.2667
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,28.76,306,-6.5229,-1.2901,60.66,35.62,64.38,27.45,49.02,44.12,55.88,0.5057,1.3319
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,92.18,128,0.277,0.0429,58.37,3.91,96.09,50.0,54.69,44.53,55.47,1.2324,1.6093
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,26.84,462,39.2872,4.0116,85.98,63.42,36.58,1.3,59.09,52.38,47.62,-0.4612,0.0218
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.5,377,7.8102,1.3731,70.95,52.25,47.75,30.5,66.31,49.34,50.66,-0.0769,-2.1532
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中强,25.44,169,-13.2139,-2.5637,10.58,62.72,37.28,0.59,56.8,28.4,71.6,-0.1315,0.3277
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.84,1061,-6.3179,-1.2292,31.0,49.58,50.42,5.18,47.6,31.95,68.05,0.0056,-0.1465
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,54.88,399,-0.2574,-0.0496,48.27,22.56,77.44,36.84,47.37,35.59,64.41,0.1905,-0.1153
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,42.86,63,19.0585,2.817,88.35,71.43,28.57,0.0,58.73,79.37,20.63,-0.353,0.0156
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,10.22,704,6.688,1.1711,65.32,55.11,44.89,7.39,53.41,48.86,51.14,-0.0513,0.2248
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,45.56,169,-13.2139,-2.5637,10.58,72.78,27.22,1.78,57.4,26.63,73.37,-0.4918,0.6465
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.48,1059,-6.3631,-1.2292,30.98,50.24,49.76,13.79,46.65,35.22,64.78,-0.0059,-0.4303
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,68.92,399,-0.2574,-0.0496,48.27,15.54,84.46,41.6,49.62,35.34,64.66,0.436,-0.1907
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,65.08,63,19.0585,2.817,88.35,82.54,17.46,0.0,57.14,90.48,9.52,-0.7841,0.3154
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,14.48,704,6.688,1.1711,65.32,57.24,42.76,19.89,54.55,54.69,45.31,-0.1243,0.6025
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,60.94,169,-13.2139,-2.5637,10.58,80.47,19.53,7.69,55.03,23.08,76.92,-0.744,0.93
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.78,1057,-6.3726,-1.2289,30.98,52.89,47.11,18.64,46.74,35.86,64.14,-0.0907,-0.6233
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,74.44,399,-0.2574,-0.0496,48.27,12.78,87.22,45.61,50.63,40.6,59.4,0.622,-0.1735
