kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.6,894,-29.5862,-6.0229,24.32,38.7,61.3,0.11,50.89,33.11,66.89,0.1288,0.0226
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,1.4,213,-6.7284,-0.9929,52.7,50.7,49.3,5.63,54.46,35.68,64.32,-0.0207,0.2288
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,43.86,171,0.0691,0.0175,57.6,28.07,71.93,43.86,57.89,30.41,69.59,0.1799,0.6525
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.82,601,68.0109,3.9656,74.01,45.09,54.91,0.0,51.41,41.43,58.57,0.0435,1.325
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.0,402,10.8233,1.4879,62.47,49.0,51.0,2.99,51.99,38.56,61.44,0.0105,-0.0021
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.14,892,-29.6775,-6.0268,24.29,41.93,58.07,0.34,48.54,34.53,65.47,0.2323,0.2391
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.8,213,-6.7284,-0.9929,52.7,44.6,55.4,18.31,53.52,39.91,60.09,0.1262,0.6435
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,54.38,171,0.0691,0.0175,57.6,22.81,77.19,47.95,59.06,31.58,68.42,0.277,0.658
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.5,601,68.0109,3.9656,74.01,52.25,47.75,0.33,54.58,47.42,52.58,-0.0568,4.0285
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,0.5,402,10.8233,1.4879,62.47,49.75,50.25,8.71,52.74,37.56,62.44,0.0051,0.6574
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.52,890,-29.8859,-6.036,24.16,41.24,58.76,1.24,47.64,35.28,64.72,0.2688,0.4645
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.74,213,-6.7284,-0.9929,52.7,44.13,55.87,24.88,54.93,43.19,56.81,0.136,1.4591
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,57.9,171,0.0691,0.0175,57.6,21.05,78.95,46.2,57.31,34.5,65.5,0.4396,0.1256
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.16,601,68.0109,3.9656,74.01,54.08,45.92,0.67,55.74,48.25,51.75,-0.1051,7.0051
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.98,402,10.8233,1.4879,62.47,47.51,52.49,13.43,54.23,33.58,66.42,0.0495,1.2829
