kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,12.14,4890,-13.3329,-5.6205,34.73,43.93,56.07,0.16,50.29,34.58,65.42,0.0783,0.0267
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.54,1473,-3.6254,-1.3967,50.27,46.23,53.77,5.3,49.63,36.8,63.2,0.0366,0.002
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,56.04,514,0.1295,0.0445,55.67,21.98,78.02,34.24,46.11,34.24,65.76,0.2351,-0.039
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.38,3541,19.1039,4.8506,71.64,47.81,52.19,0.06,51.45,41.68,58.32,0.034,0.0288
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.32,1646,4.4895,1.4829,59.95,46.84,53.16,4.68,49.76,37.24,62.76,0.0352,0.0868
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.16,4888,-13.33,-5.6197,34.73,46.42,53.58,0.39,50.68,37.66,62.34,0.0878,0.0838
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.7,1473,-3.6254,-1.3967,50.27,43.65,56.35,12.76,49.22,39.65,60.35,0.1135,-0.0665
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,71.2,514,0.1295,0.0445,55.67,14.4,85.6,38.91,46.69,38.91,61.09,0.467,0.0334
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.7,3541,19.1039,4.8506,71.64,53.35,46.65,0.37,53.69,45.21,54.79,-0.0753,0.111
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,11.66,1646,4.4895,1.4829,59.95,44.17,55.83,11.0,47.75,42.71,57.29,0.0962,0.1825
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.12,4886,-13.3329,-5.6195,34.73,48.44,51.56,0.78,51.72,39.01,60.99,0.0593,0.135
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,19.9,1473,-3.6254,-1.3967,50.27,40.05,59.95,17.65,47.25,40.73,59.27,0.2391,-0.075
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,78.22,514,0.1295,0.0445,55.67,10.89,89.11,44.75,49.61,41.05,58.95,0.6937,0.0665
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,11.04,3541,19.1039,4.8506,71.64,55.52,44.48,0.76,54.08,48.26,51.74,-0.1713,0.1651
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.64,1646,4.4895,1.4829,59.95,43.68,56.32,15.31,48.66,43.56,56.44,0.1747,0.3313
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,1.04,4881,-13.337,-5.6166,34.75,50.52,49.48,2.54,51.06,39.66,60.34,-0.0258,0.2881
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,28.98,1473,-3.6254,-1.3967,50.27,35.51,64.49,24.71,47.59,42.16,57.84,0.5544,-0.1046
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,86.38,514,0.1295,0.0445,55.67,6.81,93.19,45.14,48.44,44.36,55.64,1.1591,-0.5157
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,13.64,3541,19.1039,4.8506,71.64,56.82,43.18,2.8,52.22,50.86,49.14,-0.3041,0.3632
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,20.66,1646,4.4895,1.4829,59.95,39.67,60.33,21.57,48.12,43.99,56.01,0.3327,0.6003
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中强,28.18,504,-9.2867,-2.7865,35.46,64.09,35.91,0.0,53.77,39.88,60.12,-0.214,0.0489
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,4.02,4611,-3.3949,-1.1676,49.58,52.01,47.99,6.38,51.14,33.16,66.84,-0.0186,0.0366
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,54.5,1952,0.0175,0.0054,60.94,22.75,77.25,36.73,48.67,34.17,65.83,0.2295,-0.0051
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,中强,24.36,505,9.8067,2.9192,86.97,62.18,37.82,0.2,52.48,55.05,44.95,-0.1836,0.0608
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,4.64,4492,3.5823,1.1905,70.61,52.32,47.68,6.34,51.42,40.58,59.42,-0.0292,0.0321
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,50.0,504,-9.2867,-2.7865,35.46,75.0,25.0,3.17,52.98,43.25,56.75,-0.5825,0.3189
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.54,4609,-3.3945,-1.1674,49.58,51.77,48.23,16.49,50.27,36.93,63.07,-0.0308,0.0327
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,69.56,1952,0.0175,0.0054,60.94,15.22,84.78,45.03,51.18,36.27,63.73,0.4796,0.1306
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,49.7,505,9.8067,2.9192,86.97,74.85,25.15,0.99,50.89,60.4,39.6,-0.5916,0.1514
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.98,4492,3.5823,1.1905,70.61,54.99,45.01,17.23,52.25,44.43,55.57,-0.0872,0.0845
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,61.9,504,-9.2867,-2.7865,35.46,80.95,19.05,8.93,55.36,39.68,60.32,-1.0257,0.6552
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.02,4607,-3.3949,-1.1676,49.59,50.01,49.99,24.79,49.77,37.83,62.17,-0.0003,0.0899
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,76.34,1952,0.0175,0.0054,60.94,11.83,88.17,45.95,49.69,38.01,61.99,0.6581,0.1921
