kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.16,609,-36.7768,-7.5761,32.14,38.92,61.08,0.16,48.93,35.3,64.7,0.1675,0.0048
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.98,129,-11.4535,-1.3255,60.77,46.51,53.49,3.1,49.61,35.66,64.34,0.0216,0.2419
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,56.0,50,0.0049,0.002,44.44,22.0,78.0,32.0,46.0,42.0,58.0,0.2806,1.044
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.14,172,35.8777,2.8623,91.31,54.07,45.93,0.0,55.23,52.91,47.09,-0.0658,-0.6491
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.22,177,12.8759,1.2076,78.69,53.11,46.89,3.39,54.24,40.11,59.89,-0.0184,-0.0112
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.26,607,-36.8379,-7.4885,32.12,39.37,60.63,0.66,49.59,39.37,60.63,0.2288,0.1547
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,19.38,129,-11.4535,-1.3255,60.77,40.31,59.69,11.63,48.84,38.76,61.24,0.2576,0.5394
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,84.0,50,0.0049,0.002,44.44,8.0,92.0,38.0,40.0,44.0,56.0,0.4768,1.7397
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,29.06,172,35.8777,2.8623,91.31,64.53,35.47,0.58,59.88,61.05,38.95,-0.3359,-2.1511
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,1.7,177,12.8759,1.2076,78.69,49.15,50.85,7.91,51.98,35.59,64.41,0.0087,0.2741
