kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,62.16,37,-62.4887,-4.9541,0.0,18.92,81.08,0.0,43.24,35.14,64.86,0.2567,-1.211
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,23.08,26,-30.9468,-1.7464,67.37,38.46,61.54,3.85,38.46,46.15,53.85,0.1116,0.3987
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,1,1.8586,0.1235,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.576,-12.8365
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,77.14,35,-60.5033,-4.6974,0.0,11.43,88.57,0.0,40.0,25.71,74.29,0.6215,-0.4166
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,23.08,26,-30.9468,-1.7464,67.37,38.46,61.54,3.85,53.85,50.0,50.0,0.2114,-2.9604
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,1,1.8586,0.1235,100.0,0.0,100.0,100.0,100.0,100.0,0.0,1.4834,-32.3574
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,69.7,33,-59.6067,-4.5498,0.0,15.15,84.85,0.0,51.52,21.21,78.79,1.0587,0.1491
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,15.38,26,-30.9468,-1.7464,67.37,42.31,57.69,3.85,46.15,46.15,53.85,0.225,-6.0722
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,1,1.8586,0.1235,100.0,0.0,100.0,100.0,100.0,100.0,0.0,1.8803,-38.2433
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,57.14,28,-58.166,-4.2178,0.0,21.43,78.57,0.0,46.43,14.29,85.71,2.3711,-3.6737
