kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,26.02,565,-48.0891,-9.3015,43.79,36.99,63.01,0.0,45.31,39.82,60.18,0.1963,-0.0044
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,9.48,95,-14.2265,-1.4872,76.79,45.26,54.74,3.16,46.32,46.32,53.68,0.0393,0.052
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,50.0,12,-2.9189,-0.2517,81.09,25.0,75.0,25.0,41.67,33.33,66.67,0.2313,-0.0716
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,1.2,83,45.408,2.9981,86.17,50.6,49.4,2.41,55.42,46.99,53.01,-0.0002,-1.8868
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,22.8,57,17.9533,1.2503,9.93,38.6,61.4,5.26,42.11,24.56,75.44,0.0646,-0.2357
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,23.4,564,-48.103,-9.3023,43.69,38.3,61.7,0.35,44.33,39.36,60.64,0.4868,0.2963
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,31.92,94,-14.1879,-1.4521,76.92,34.04,65.96,5.32,37.23,45.74,54.26,0.3292,-1.0662
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100.0,12,-2.9189,-0.2517,81.09,0.0,100.0,33.33,33.33,58.33,41.67,1.0386,-6.0548
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,34.94,83,45.408,2.9981,86.17,67.47,32.53,6.02,73.49,53.01,46.99,-0.3097,-5.7365
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,5.26,57,17.9533,1.2503,9.93,47.37,52.63,12.28,50.88,28.07,71.93,0.053,0.0839
