kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.92,562,-31.8898,-8.006,24.28,40.04,59.96,0.18,49.64,36.3,63.7,0.1271,-0.0566
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.58,132,-7.7865,-1.501,53.31,46.21,53.79,5.3,48.48,39.39,60.61,0.0728,0.0186
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,53.84,26,0.7872,0.1337,60.3,23.08,76.92,46.15,53.85,23.08,76.92,0.2348,0.0507
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.7,392,43.3391,4.8445,80.48,45.15,54.85,0.0,50.77,40.05,59.95,0.0658,0.1037
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,5.34,150,10.1085,1.6138,69.15,47.33,52.67,2.67,54.0,34.67,65.33,0.0177,0.417
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,23.14,562,-31.8898,-8.006,24.28,38.43,61.57,0.71,45.73,39.32,60.68,0.2759,-0.0461
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.12,132,-7.7865,-1.501,53.31,43.94,56.06,8.33,46.97,31.82,68.18,0.1187,0.0928
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,76.92,26,0.7872,0.1337,60.3,11.54,88.46,46.15,50.0,38.46,61.54,0.4839,0.3952
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.54,392,43.3391,4.8445,80.48,50.77,49.23,0.0,53.32,42.86,57.14,-0.0388,0.1622
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.46,148,10.1085,1.6237,69.15,45.27,54.73,7.43,47.3,31.76,68.24,0.1129,1.1843
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,20.64,562,-31.8898,-8.006,24.28,39.68,60.32,1.07,44.66,39.86,60.14,0.3654,0.0409
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,22.72,132,-7.7865,-1.501,53.31,38.64,61.36,11.36,43.94,30.3,69.7,0.3103,0.4457
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,84.62,26,0.7872,0.1337,60.3,7.69,92.31,50.0,50.0,46.15,53.85,0.8121,0.429
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.6,392,43.3391,4.8445,80.48,52.3,47.7,0.0,53.32,42.09,57.91,-0.0781,0.3607
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,16.44,146,10.3232,1.6393,69.32,41.78,58.22,10.96,47.95,36.99,63.01,0.2076,1.0023
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.06,562,-31.8898,-8.006,24.28,38.97,61.03,2.31,41.28,43.42,56.58,0.5956,0.0205
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,33.34,132,-7.7865,-1.501,53.31,33.33,66.67,17.42,39.39,30.3,69.7,0.4566,1.5392
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,61.54,26,0.7872,0.1337,60.3,19.23,80.77,57.69,57.69,50.0,50.0,0.8561,0.1649
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.72,392,43.3391,4.8445,80.48,55.36,44.64,0.77,51.79,49.49,50.51,-0.3614,1.1837
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,26.24,141,10.1385,1.6622,69.6,36.88,63.12,18.44,52.48,39.72,60.28,0.2897,0.4827
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,41.94,31,-13.5204,-2.6527,15.38,70.97,29.03,0.0,54.84,29.03,70.97,-0.2025,0.5722
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.26,532,-5.588,-1.0743,36.52,52.63,47.37,5.45,51.32,29.32,70.68,-0.0329,0.054
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,55.36,233,-0.1204,-0.0172,51.12,22.32,77.68,40.34,51.07,36.05,63.95,0.2625,-0.0035
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,37.78,45,21.2903,2.7111,87.46,68.89,31.11,0.0,46.67,53.33,46.67,-0.2682,1.1667
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.26,421,6.4073,1.0499,65.67,54.63,45.37,6.18,53.21,47.03,52.97,-0.067,-0.0547
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,67.74,31,-13.5204,-2.6527,15.38,83.87,16.13,0.0,54.84,32.26,67.74,-0.677,1.766
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.28,530,-5.5587,-1.072,36.58,52.64,47.36,16.23,51.13,27.74,72.26,-0.0382,0.4003
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,67.38,233,-0.1204,-0.0172,51.12,16.31,83.69,44.21,53.22,39.48,60.52,0.4065,-0.5223
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,46.66,45,21.2903,2.7111,87.46,73.33,26.67,8.89,53.33,73.33,26.67,-0.7434,0.0276
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.74,421,6.4073,1.0499,65.67,54.87,45.13,18.05,56.53,48.93,51.07,-0.104,0.2114
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,80.0,30,-13.2885,-2.662,15.38,90.0,10.0,13.33,60.0,40.0,60.0,-1.4268,3.1941
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.84,529,-5.536,-1.0705,36.6,51.42,48.58,24.2,49.34,28.54,71.46,-0.0239,0.8113
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,77.68,233,-0.1204,-0.0172,51.12,11.16,88.84,53.22,57.94,40.34,59.66,0.5237,-1.1334
中值,middle,短期拉伸/回归,中值上侧极端,5,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,77.78,45,21.2903,2.7111,87.46,88.89,11.11,17.78,62.22,75.56,24.44,-1.1951,-2.6232
中值,middle,短期拉伸/回归,中值上侧偏离,5,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,10.22,421,6.4073,1.0499,65.67,55.11,44.89,25.89,56.29,48.46,51.54,-0.0933,0.5649
中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,93.34,30,-13.2885,-2.662,15.38,96.67,3.33,43.33,60.0,46.67,53.33,-1.555,4.9115
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,8.78,524,-5.5245,-1.0545,36.63,54.39,45.61,37.6,48.09,31.68,68.32,-0.1245,1.6084
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,81.12,233,-0.1204,-0.0172,51.12,9.44,90.56,54.51,55.36,37.34,62.66,0.672,-2.0798
中值,middle,短期拉伸/回归,中值上侧极端,10,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,91.12,45,21.2903,2.7111,87.46,95.56,4.44,35.56,75.56,86.67,13.33,-1.8434,-6.5491
