kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.8,2645,-18.5896,-6.1187,53.8,43.1,56.9,0.0,50.36,33.31,66.69,0.0886,-0.0276
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.04,843,-4.3446,-1.4234,64.04,44.48,55.52,4.27,46.74,34.4,65.6,0.0454,-0.0081
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,40.36,275,-0.0292,-0.01,71.45,29.82,70.18,34.55,48.73,37.82,62.18,0.1387,-0.3011
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,2.62,1027,16.0484,3.2587,89.34,51.31,48.69,0.88,54.14,42.26,57.74,-0.0169,-0.1021
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.04,361,6.0665,1.3363,75.28,45.98,54.02,3.32,48.48,32.96,67.04,0.0382,0.3371
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,6.78,2643,-18.5905,-6.1087,53.79,46.61,53.39,0.23,49.68,35.41,64.59,0.0916,-0.064
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,15.3,843,-4.3446,-1.4234,64.04,42.35,57.65,9.73,46.98,36.65,63.35,0.1534,-0.0167
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,64.36,275,-0.0292,-0.01,71.45,17.82,82.18,38.18,47.64,44.36,55.64,0.48,-0.7283
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.08,1027,16.0484,3.2587,89.34,54.04,45.96,2.73,55.01,49.66,50.34,-0.1003,-0.2335
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.92,361,6.0665,1.3363,75.28,46.54,53.46,12.47,50.42,42.11,57.89,0.0847,0.3854
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.0,2641,-18.5937,-6.1187,53.79,48.5,51.5,0.68,49.91,36.96,63.04,0.057,-0.0671
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.94,843,-4.3446,-1.4234,64.04,39.03,60.97,12.69,44.48,37.13,62.87,0.3117,-0.1289
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,80.36,275,-0.0292,-0.01,71.45,9.82,90.18,41.45,45.45,45.45,54.55,0.6995,-0.8815
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.84,1027,16.0484,3.2587,89.34,54.92,45.08,4.67,55.89,50.83,49.17,-0.1493,-0.435
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,11.92,361,6.0665,1.3363,75.28,44.04,55.96,16.9,50.97,43.21,56.79,0.1511,0.4369
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,0.6,2636,-18.5981,-6.1074,53.75,49.7,50.3,2.43,49.62,39.76,60.24,0.019,-0.1327
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,33.1,843,-4.3446,-1.4234,64.04,33.45,66.55,16.73,43.3,36.77,63.23,0.5417,-0.3873
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,82.54,275,-0.0292,-0.01,71.45,8.73,91.27,45.82,49.45,42.91,57.09,1.0188,0.1139
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,17.04,1027,16.0484,3.2587,89.34,58.52,41.48,10.03,59.49,53.26,46.74,-0.3025,-1.2289
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,23.54,361,6.0665,1.3363,75.28,38.23,61.77,23.82,47.65,46.26,53.74,0.3498,0.6766
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中,14.04,235,-15.346,-2.9672,23.58,57.02,42.98,0.0,51.49,27.66,72.34,-0.0708,-0.1131
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.18,2264,-4.2569,-1.1883,46.96,51.59,48.41,4.81,49.47,30.26,69.74,-0.0122,-0.1097
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,52.58,930,0.0,0.0,59.18,23.66,76.24,33.76,47.1,31.83,68.17,0.1942,0.0766
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,中强,27.88,208,11.3373,2.5115,89.35,63.94,36.06,0.96,56.25,57.21,42.79,-0.2331,-0.3063
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,12.54,1514,3.7553,1.0266,71.28,56.27,43.73,8.12,53.17,43.79,56.21,-0.0693,0.0803
