kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.8,2480,-22.9675,-7.0282,49.43,42.1,57.9,0.16,49.56,34.48,65.52,0.1108,-0.0152
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,8.72,688,-5.9771,-1.3949,66.87,45.64,54.36,4.36,49.13,33.72,66.28,0.0417,0.068
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,53.84,273,-0.0396,-0.0094,71.04,23.08,76.92,38.46,49.82,34.43,65.57,0.1987,-0.078
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.58,1682,38.108,4.6121,82.65,47.21,52.79,0.06,50.77,40.96,59.04,0.0349,0.1709
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,0.0,666,6.7881,1.4017,74.76,50.0,50.0,4.5,51.35,41.89,58.11,0.0002,0.0302
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,9.44,2480,-22.9675,-7.0282,49.43,45.28,54.72,0.44,49.31,37.42,62.58,0.1317,-0.0274
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,15.12,688,-5.9771,-1.3949,66.87,42.44,57.56,11.34,48.4,37.35,62.65,0.1264,0.1665
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,67.76,273,-0.0396,-0.0094,71.04,16.12,83.88,44.69,50.55,38.83,61.17,0.4987,-0.3042
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.86,1680,38.1032,4.6105,82.63,53.93,46.07,0.06,52.86,48.39,51.61,-0.0772,0.4561
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,5.4,666,6.7881,1.4017,74.76,47.3,52.7,11.71,51.5,46.85,53.15,0.0945,0.2437
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.36,2480,-22.9675,-7.0282,49.43,47.82,52.18,0.97,48.23,37.5,62.5,0.0911,-0.0125
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,20.34,688,-5.9771,-1.3949,66.87,39.83,60.17,16.28,47.82,36.92,63.08,0.2285,0.1738
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,82.42,273,-0.0396,-0.0094,71.04,8.79,91.21,45.42,48.35,41.03,58.97,0.6622,-0.4785
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.94,1678,38.1025,4.6084,82.61,54.47,45.53,0.24,53.16,51.79,48.21,-0.1297,0.7117
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.62,666,6.7881,1.4017,74.76,43.69,56.31,17.72,48.05,47.0,53.0,0.173,0.4462
