kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.98,2830,-15.6052,-5.3839,39.71,42.51,57.49,0.04,51.34,32.3,67.7,0.09,0.0294
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,2.8,1251,-3.9555,-1.344,56.86,48.6,51.4,5.04,51.24,33.97,66.03,0.0151,0.0834
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,51.86,432,-0.0643,-0.0183,61.92,24.07,75.93,31.71,45.14,34.26,65.74,0.1624,0.0489
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.34,2332,22.3375,4.6896,74.67,45.33,54.67,0.0,50.56,40.78,59.22,0.0548,0.1248
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.12,1179,5.4932,1.4732,64.25,48.94,51.06,5.85,51.91,35.28,64.72,0.0166,-0.0955
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.56,2828,-15.5928,-5.3788,39.73,46.22,53.78,0.53,53.08,35.08,64.92,0.0872,0.1488
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.4,1251,-3.9555,-1.344,56.86,43.8,56.2,12.31,50.36,35.33,64.67,0.11,0.1222
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,68.98,432,-0.0643,-0.0183,61.92,15.51,84.49,40.51,49.31,33.8,66.2,0.3789,0.0062
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.86,2332,22.3375,4.6896,74.67,49.57,50.43,0.39,51.11,45.58,54.42,0.0069,0.3458
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.4,1179,5.4932,1.4732,64.25,45.8,54.2,12.98,52.25,40.37,59.63,0.0736,-0.1363
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.46,2826,-15.579,-5.375,39.75,47.77,52.23,1.24,52.12,35.03,64.97,0.0788,0.2438
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,17.82,1251,-3.9555,-1.344,56.86,41.09,58.91,16.79,50.52,35.25,64.75,0.1855,0.2236
