kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,29.88,77,-47.6091,-4.3795,36.08,35.06,64.94,1.3,44.16,27.27,72.73,0.1734,1.7884
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,24.0,50,-25.2144,-1.5299,66.84,38.0,62.0,4.0,42.0,48.0,52.0,0.1087,-0.1403
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,16.66,24,2.7809,0.1559,72.63,41.67,58.33,41.67,58.33,50.0,50.0,0.1452,1.6507
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,45.46,11,41.5155,1.9717,97.49,72.73,27.27,0.0,72.73,72.73,27.27,-0.3754,-0.3358
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,33.34,15,18.1249,0.8776,78.1,66.67,33.33,20.0,73.33,60.0,40.0,-0.3122,-4.8215
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,25.34,75,-47.602,-4.3314,36.09,37.33,62.67,6.67,54.67,24.0,76.0,0.2312,7.8764
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,48.0,50,-25.2144,-1.5299,66.84,26.0,74.0,12.0,36.0,50.0,50.0,0.4912,-0.3544
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,58.34,24,2.7809,0.1559,72.63,20.83,79.17,54.17,62.5,79.17,20.83,0.4001,-4.428
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,63.64,11,41.5155,1.9717,97.49,81.82,18.18,27.27,72.73,90.91,9.09,-0.7338,-5.0395
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,46.66,15,18.1249,0.8776,78.1,73.33,26.67,20.0,73.33,60.0,40.0,-0.3229,-5.5924
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,31.5,73,-47.583,-4.2806,36.36,34.25,65.75,10.96,52.05,30.14,69.86,0.5107,14.9996
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,44.0,50,-25.2144,-1.5299,66.84,28.0,72.0,20.0,40.0,38.0,62.0,0.5348,0.914
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,75.0,24,2.7809,0.1559,72.63,12.5,87.5,58.33,66.67,66.67,33.33,0.4504,-8.3016
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,27.28,11,41.5155,1.9717,97.49,63.64,36.36,45.45,81.82,100.0,0.0,-0.7032,-15.2795
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,33.34,15,18.1249,0.8776,78.1,66.67,33.33,33.33,73.33,86.67,13.33,-0.2901,-12.0494
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,17.64,68,-47.2987,-4.2179,38.2,41.18,58.82,19.12,52.94,26.47,73.53,0.9703,34.42
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,64.0,50,-25.2144,-1.5299,66.84,18.0,82.0,20.0,32.0,54.0,46.0,1.1177,-6.0778
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,58.34,24,2.7809,0.1559,72.63,20.83,79.17,37.5,50.0,50.0,50.0,0.3198,-7.7785
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,9.1,11,41.5155,1.9717,97.49,54.55,45.45,54.55,81.82,100.0,0.0,-1.3779,-21.2016
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,20.0,15,18.1249,0.8776,78.1,60.0,40.0,66.67,93.33,86.67,13.33,-0.3879,-27.87
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,71.42,7,-49.1375,-2.8827,12.34,85.71,14.29,0.0,42.86,42.86,57.14,-0.2308,-1.4505
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,23.08,91,-23.231,-1.4329,31.95,38.46,61.54,4.4,38.46,34.07,65.93,0.0661,1.1389
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,57.14,28,1.9089,0.1061,52.76,21.43,78.57,42.86,46.43,53.57,46.43,0.1406,-3.1996
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,33.34,3,48.286,2.6906,87.71,66.67,33.33,0.0,66.67,66.67,33.33,-0.6066,0.6768
