kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.86,5093,-15.0591,-6.9061,38.67,42.57,57.43,0.04,49.36,34.58,65.42,0.1061,0.0076
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,9.68,1548,-3.8359,-1.4442,57.17,45.16,54.84,5.81,48.45,37.21,62.79,0.049,-0.0709
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,49.64,552,0.1065,0.0378,61.59,25.18,74.82,36.59,51.99,30.98,69.02,0.191,0.0351
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.92,3418,22.5448,5.1732,79.14,47.54,52.46,0.03,50.91,43.3,56.7,0.0369,0.1411
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,5.08,1631,4.1704,1.4214,66.13,47.46,52.54,4.48,50.03,36.79,63.21,0.0331,0.0198
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.88,5091,-15.0595,-6.9093,38.66,46.06,53.94,0.47,49.95,37.38,62.62,0.1017,-0.0052
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,14.22,1548,-3.8359,-1.4442,57.17,42.89,57.11,12.4,47.87,36.95,63.05,0.1641,-0.1154
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,65.94,552,0.1065,0.0378,61.59,17.03,82.97,40.4,51.63,39.49,60.51,0.4335,-0.1629
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.68,3418,22.5448,5.1732,79.14,51.84,48.16,0.2,51.17,48.62,51.38,-0.0582,0.4235
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.12,1631,4.1704,1.4214,66.13,44.94,55.06,10.67,49.17,40.59,59.41,0.1059,0.1293
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.12,5090,-15.0597,-6.9129,38.66,47.94,52.06,1.12,49.51,38.62,61.38,0.0823,-0.0204
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,18.68,1547,-3.8356,-1.4439,57.18,40.66,59.34,16.29,47.25,39.3,60.7,0.2473,-0.1595
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,76.82,552,0.1065,0.0378,61.59,11.59,88.41,44.2,49.82,41.3,58.7,0.6702,-0.1262
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.96,3418,22.5448,5.1732,79.14,54.48,45.52,0.7,51.02,50.94,49.06,-0.1408,0.6996
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.56,1631,4.1704,1.4214,66.13,43.72,56.28,16.0,49.66,41.57,58.43,0.1628,0.1999
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,1.34,5086,-15.0628,-6.9187,38.65,50.67,49.33,2.62,47.82,41.07,58.93,-0.0306,-0.1401
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,29.24,1546,-3.8359,-1.4436,57.19,35.38,64.62,23.8,47.28,39.72,60.28,0.4904,-0.1516
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,82.24,552,0.1065,0.0378,61.59,8.88,91.12,49.09,54.53,39.67,60.33,1.0951,0.0913
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,17.32,3418,22.5448,5.1732,79.14,58.66,41.34,2.25,50.61,55.0,45.0,-0.327,1.3798
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,18.2,1631,4.1704,1.4214,66.13,40.9,59.1,23.73,50.46,41.32,58.68,0.2858,0.4572
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,31.9,467,-8.1108,-2.7759,16.67,65.95,34.05,0.0,53.1,41.11,58.89,-0.2166,0.1219
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.22,4876,-3.3706,-1.1724,35.44,51.11,48.89,5.43,49.98,33.02,66.98,-0.0149,-0.0172
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,53.58,1900,-0.0381,-0.0115,49.42,23.21,76.79,36.63,49.32,32.37,67.63,0.2293,0.0381
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,32.1,542,8.6776,2.8414,83.94,66.05,33.95,0.37,54.98,62.18,37.82,-0.269,0.0762
