kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,37.62,109,-64.7757,-8.1329,3.27,31.19,68.81,0,42.2,49.54,50.46,0.3099,-0.3423
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,8.34,24,-20.3304,-1.6088,77.14,45.83,54.17,0,45.83,58.33,41.67,0.1185,0.1322
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100,3,-1.9834,-0.1417,91.27,0,100,33.33,33.33,33.33,66.67,0.4869,-2.4105
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,100,1,5.1696,0.3848,100,100,0,100,100,0,100,-0.2999,-5.7191
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,57,107,-64.638,-8.1064,3.31,21.5,78.5,0,34.58,45.79,54.21,0.8159,-0.6659
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,0,24,-20.3304,-1.6088,77.14,50,50,4.17,50,50,50,0.0711,0.4745
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100,3,-1.9834,-0.1417,91.27,0,100,0,0,66.67,33.33,0.7499,-14.3623
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,100,1,5.1696,0.3848,100,100,0,100,100,100,0,-0.2431,-5.8878
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,69.52,105,-64.5143,-8.0568,3.79,15.24,84.76,0,35.24,45.71,54.29,1.1269,-1.5334
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,0,24,-20.3304,-1.6088,77.14,50,50,4.17,58.33,58.33,41.67,0.0375,1.2958
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100,3,-1.9834,-0.1417,91.27,0,100,0,0,66.67,33.33,1.7609,-20.5795
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,100,1,5.1696,0.3848,100,0,100,100,100,100,0,1.8891,-37.2278
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,68,100,-64.2656,-7.7242,5.56,16,84,0,32,45,55,2.3135,-4.6937
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,25,24,-20.3304,-1.6088,77.14,37.5,62.5,4.17,41.67,75,25,0.3389,-7.953
