kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.12,225,-44.3172,-10.957,4.76,40.44,59.56,0.0,48.0,32.89,67.11,0.1125,-0.0521
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,5.56,36,-9.1425,-1.2744,74.32,52.78,47.22,8.33,47.22,44.44,55.56,-0.0174,-0.7845
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,46.66,15,0.4144,0.0595,29.31,26.67,73.33,13.33,33.33,46.67,53.33,0.2626,0.1256
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,11.48,61,31.035,3.3523,81.74,55.74,44.26,0.0,52.46,52.46,47.54,-0.048,-0.3643
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,4.54,44,13.208,1.5056,64.41,47.73,52.27,6.82,50.0,40.91,59.09,0.0558,-0.0641
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.8,223,-44.4419,-10.9857,4.74,42.6,57.4,0.45,43.5,41.26,58.74,0.2135,-0.2244
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,0.0,36,-9.1425,-1.2744,74.32,50.0,50.0,8.33,38.89,61.11,38.89,0.0057,-2.0919
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,73.34,15,0.4144,0.0595,29.31,13.33,86.67,13.33,26.67,26.67,73.33,0.9068,2.6886
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,27.86,61,31.035,3.3523,81.74,63.93,36.07,1.64,60.66,62.3,37.7,-0.2946,-1.6469
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,9.1,44,13.208,1.5056,64.41,45.45,54.55,15.91,50.0,38.64,61.36,0.078,0.0834
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,27.6,221,-44.7006,-11.0255,4.72,36.2,63.8,0.9,41.63,41.18,58.82,0.4153,-0.3138
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,22.22,36,-9.1425,-1.2744,74.32,38.89,61.11,11.11,41.67,61.11,38.89,0.6025,-3.9078
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,73.34,15,0.4144,0.0595,29.31,13.33,86.67,26.67,26.67,40.0,60.0,0.8369,0.7245
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,40.98,61,31.035,3.3523,81.74,70.49,29.51,6.56,65.57,60.66,39.34,-0.3682,-3.2228
