kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.26,1217,-36.8247,-9.07,65.59,38.87,61.13,0.08,48.97,35.74,64.26,0.1597,-0.0405
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,22.3,157,-8.876,-1.4129,83.1,38.85,61.15,8.28,46.5,37.58,62.42,0.0785,-0.3747
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,51.42,70,0.5226,0.0622,87.48,24.29,75.71,34.29,47.14,32.86,67.14,0.1419,0.1256
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.54,323,21.3954,2.123,90.68,50.77,49.23,2.79,53.87,41.49,58.51,-0.0042,-0.1105
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,25.0,8,6.0407,0.4999,59.78,62.5,37.5,12.5,62.5,37.5,62.5,-0.2566,-1.9307
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,18.36,1215,-36.8809,-9.0759,65.57,40.82,59.18,0.33,46.58,35.88,64.12,0.2445,-0.1922
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.02,157,-8.876,-1.4129,83.1,39.49,60.51,14.01,43.31,45.86,54.14,0.2553,-0.2089
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,68.58,70,0.5226,0.0622,87.48,15.71,84.29,48.57,54.29,44.29,55.71,0.3743,1.7239
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.02,323,21.3954,2.123,90.68,52.01,47.99,6.5,55.73,45.82,54.18,-0.0544,-0.7647
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,50.0,8,6.0407,0.4999,59.78,75.0,25.0,12.5,87.5,62.5,37.5,-0.2551,-3.4007
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.42,1213,-36.9603,-9.0783,65.56,42.79,57.21,0.41,46.08,38.58,61.42,0.2796,-0.3745
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,31.22,157,-8.876,-1.4129,83.1,34.39,65.61,18.47,45.86,47.13,52.87,0.4569,-0.0044
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,71.42,70,0.5226,0.0622,87.48,14.29,85.71,41.43,41.43,51.43,48.57,0.414,0.8799
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.12,323,21.3954,2.123,90.68,53.56,46.44,8.36,54.8,46.13,53.87,-0.081,-0.955
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,0.0,8,6.0407,0.4999,59.78,50.0,50.0,50.0,75.0,62.5,37.5,0.0051,-7.3014
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.88,1208,-37.0758,-9.0965,65.49,41.06,58.94,1.32,45.2,40.48,59.52,0.4338,-0.7778
