kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.18,870,-29.3024,-5.8609,39.8,42.41,57.59,0.34,50.34,34.14,65.86,0.1126,0.2631
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.58,334,-8.6622,-1.2852,64.37,46.71,53.29,3.89,49.1,35.03,64.97,0.0386,-0.0822
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,49.16,118,-0.0754,-0.0082,70.03,25.42,74.58,38.98,50.85,40.68,59.32,0.1844,-0.1148
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.82,231,44.5146,3.9263,84.8,55.41,44.59,0.0,57.14,50.22,49.78,-0.0403,-0.4039
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,3.02,299,12.7571,1.382,75.53,51.51,48.49,5.69,53.18,38.13,61.87,-0.0127,-0.3009
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.52,868,-29.2633,-5.8422,39.9,45.74,54.26,0.69,50.69,36.06,63.94,0.1255,0.6361
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.18,334,-8.6622,-1.2852,64.37,44.91,55.09,11.08,47.6,41.32,58.68,0.123,-0.3508
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,71.18,118,-0.0754,-0.0082,70.03,14.41,85.59,41.53,48.31,43.22,56.78,0.4878,-0.1033
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,17.74,231,44.5146,3.9263,84.8,58.87,41.13,0.0,55.84,58.87,41.13,-0.183,-0.6369
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,1.68,299,12.7571,1.382,75.53,50.84,49.16,13.71,56.52,43.48,56.52,-0.0175,-1.0526
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.62,866,-29.2276,-5.8284,40.02,46.19,53.81,0.92,50.12,38.22,61.78,0.1172,0.8264
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.58,334,-8.6622,-1.2852,64.37,43.71,56.29,15.27,48.8,40.72,59.28,0.1945,-0.1872
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,91.52,118,-0.0754,-0.0082,70.03,4.24,95.76,46.61,50.85,50.85,49.15,0.7851,-0.3872
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,25.54,231,44.5146,3.9263,84.8,62.77,37.23,1.73,58.87,67.97,32.03,-0.4616,-1.1434
