kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.8,468,-42.0688,-7.4046,27.34,39.1,60.9,0.21,49.57,36.32,63.68,0.18,-0.0105
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,8.1,74,-9.4055,-1.2366,72.68,45.95,54.05,12.16,48.65,36.49,63.51,0.0506,0.3298
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,68.88,45,0.5082,0.0673,80.98,15.56,84.44,24.44,35.56,42.22,57.78,0.2487,0.2459
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,10.44,67,12.8249,1.7701,92.1,55.22,44.78,1.49,56.72,55.22,44.78,-0.0495,-0.3865
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,17.24,29,5.656,0.7266,83.54,58.62,41.38,17.24,62.07,51.72,48.28,-0.1262,-1.4689
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.1,468,-42.0688,-7.4046,27.34,41.45,58.55,0.21,49.57,38.03,61.97,0.2903,0.0588
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,5.4,74,-9.4055,-1.2366,72.68,47.3,52.7,31.08,55.41,35.14,64.86,0.1181,0.8793
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,73.34,45,0.5082,0.0673,80.98,13.33,86.67,37.78,40.0,42.22,57.78,0.473,-1.4688
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,7.7,65,12.7045,1.7525,91.99,53.85,46.15,1.54,56.92,58.46,41.54,-0.0932,-0.0301
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,10.34,29,5.656,0.7266,83.54,55.17,44.83,44.83,68.97,58.62,41.38,-0.2543,-5.4166
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.82,468,-42.0688,-7.4046,27.34,42.09,57.91,0.64,47.22,38.03,61.97,0.3318,0.1723
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,13.52,74,-9.4055,-1.2366,72.68,43.24,56.76,39.19,58.11,43.24,56.76,0.3138,0.2779
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,82.22,45,0.5082,0.0673,80.98,8.89,91.11,42.22,51.11,51.11,48.89,0.5736,-0.8955
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,4.76,63,12.4655,1.7199,91.81,47.62,52.38,9.52,57.14,58.73,41.27,0.054,-0.239
