kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.04,378,-37.9951,-6.5977,21.85,40.48,59.52,0.53,51.59,33.33,66.67,0.1533,0.0859
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,4.88,82,-7.149,-0.9117,39.66,52.44,47.56,2.44,54.88,31.71,68.29,-0.0067,0.04
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,57.38,61,-0.1384,-0.0145,24.21,21.31,78.69,49.18,59.02,31.15,68.85,0.3635,1.6083
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.18,229,123.058,4.6099,61.01,54.59,45.41,0.0,55.9,47.16,52.84,-0.0519,1.0917
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.58,146,10.3912,1.0298,42.13,54.79,45.21,8.9,58.9,48.63,51.37,-0.0522,-0.7081
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,20.22,376,-38.1903,-6.6203,20.84,39.89,60.11,1.33,47.61,33.24,66.76,0.2487,0.5553
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,12.2,82,-7.149,-0.9117,39.66,43.9,56.1,15.85,48.78,29.27,70.73,0.0606,0.1301
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,77.04,61,-0.1384,-0.0145,24.21,11.48,88.52,42.62,49.18,37.7,62.3,0.6023,2.0815
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.92,229,123.058,4.6099,61.01,55.46,44.54,0.44,55.46,51.09,48.91,-0.1573,3.4638
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.96,146,10.3912,1.0298,42.13,55.48,44.52,19.18,63.01,56.85,43.15,-0.0869,-1.0479
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,24.06,374,-38.322,-6.668,19.5,37.97,62.03,2.41,46.52,35.29,64.71,0.3599,0.9939
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,14.64,82,-7.149,-0.9117,39.66,42.68,57.32,23.17,47.56,36.59,63.41,0.1998,0.4074
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,93.44,61,-0.1384,-0.0145,24.21,3.28,96.72,42.62,45.9,32.79,67.21,0.9502,3.556
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,14.42,229,123.058,4.6099,61.01,57.21,42.79,0.44,53.71,53.71,46.29,-0.1961,5.6389
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,20.54,146,10.3912,1.0298,42.13,60.27,39.73,27.4,68.49,62.33,37.67,-0.1604,-0.6626
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,24.66,369,-38.6403,-6.7443,16.85,37.67,62.33,6.78,48.51,34.69,65.31,0.6559,3.2495
