kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.88,2986,-18.668,-6.7595,37.14,42.06,57.94,0.13,49.97,34.39,65.61,0.1008,-0.0096
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,4.96,787,-4.435,-1.4082,56.1,47.52,52.48,4.07,50.32,35.58,64.42,0.0273,-0.1124
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,60.76,260,0.1674,0.0434,60.88,19.62,80.38,34.23,46.92,36.15,63.85,0.2303,0.0081
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.78,1401,31.7773,5.0385,76.0,48.11,51.89,0.0,52.25,41.4,58.6,0.0301,0.1307
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,7.4,663,5.4342,1.3515,64.66,46.3,53.7,5.58,47.06,36.35,63.65,0.0438,0.0986
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.38,2984,-18.6713,-6.7604,37.13,44.81,55.19,0.37,48.46,37.43,62.57,0.1531,-0.0892
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.5,787,-4.435,-1.4082,56.1,46.25,53.75,10.29,49.05,39.01,60.99,0.0823,-0.1817
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,75.38,260,0.1674,0.0434,60.88,12.31,87.69,40.0,45.38,38.85,61.15,0.504,0.19
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,2.92,1401,31.7773,5.0385,76.0,51.46,48.54,0.14,50.82,47.47,52.53,-0.033,0.4375
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,11.62,663,5.4342,1.3515,64.66,44.19,55.81,13.88,47.96,43.59,56.41,0.1459,0.189
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.72,2982,-18.6728,-6.7608,37.13,45.64,54.36,0.47,46.75,37.66,62.34,0.1637,-0.1776
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,17.92,787,-4.435,-1.4082,56.1,41.04,58.96,14.1,46.76,37.36,62.64,0.19,-0.2175
