kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.22,5371,-17.3866,-7.0071,39.09,41.39,58.61,0.04,48.71,34.03,65.97,0.1142,-0.0412
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.8,1236,-4.1083,-1.4097,58.89,46.6,53.4,4.21,48.95,34.39,65.61,0.0313,-0.0572
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,57.46,362,-0.0394,-0.0176,63.51,21.27,78.73,34.25,46.96,35.64,64.36,0.2047,0.0204
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.68,2004,26.0131,4.9161,80.03,46.66,53.34,0.0,50.5,43.96,56.04,0.047,0.1494
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.62,1080,4.6409,1.4614,68.66,47.69,52.31,6.02,50.09,37.31,62.69,0.034,-0.0272
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.16,5369,-17.3957,-7.0078,39.09,44.42,55.58,0.22,48.17,37.55,62.45,0.142,-0.1317
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.0,1236,-4.1083,-1.4097,58.89,44.5,55.5,10.03,48.54,38.03,61.97,0.1061,-0.14
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,74.04,362,-0.0394,-0.0176,63.51,12.98,87.02,41.16,46.96,37.57,62.43,0.4568,-0.1449
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.38,2004,26.0131,4.9161,80.03,52.69,47.31,0.25,52.45,49.1,50.9,-0.0745,0.4423
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.3,1080,4.6409,1.4614,68.66,46.85,53.15,12.87,54.07,43.15,56.85,0.0517,0.0336
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.96,5367,-17.3969,-7.0087,39.09,45.52,54.48,0.6,47.36,38.77,61.23,0.1684,-0.1925
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,14.88,1236,-4.1083,-1.4097,58.89,42.56,57.44,14.72,47.25,40.13,59.87,0.1931,-0.3099
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,79.0,362,-0.0394,-0.0176,63.51,10.5,89.5,44.48,50.55,38.12,61.88,0.6785,-0.2908
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.58,2004,26.0131,4.9161,80.03,54.29,45.71,0.7,51.25,49.45,50.55,-0.1735,0.7192
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.38,1080,4.6409,1.4614,68.66,44.81,55.19,18.33,52.87,45.56,54.44,0.1422,0.1291
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,5.7,5362,-17.4079,-7.0165,39.09,47.15,52.85,1.75,45.64,40.15,59.85,0.1193,-0.4048
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,28.48,1236,-4.1083,-1.4097,58.89,35.76,64.24,20.71,44.9,42.31,57.69,0.4443,-0.6482
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,87.3,362,-0.0394,-0.0176,63.51,6.35,93.65,47.79,51.38,39.78,60.22,0.9738,-0.7569
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,16.06,2004,26.0131,4.9161,80.03,58.03,41.97,2.59,52.1,51.7,48.3,-0.4183,1.5394
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,16.3,1080,4.6409,1.4614,68.66,41.85,58.15,25.56,54.17,45.56,54.44,0.2718,0.3294
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中强,25.6,414,-9.3136,-2.7905,17.25,62.8,37.2,0.0,53.86,39.13,60.87,-0.1708,-0.0019
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.32,4299,-3.7631,-1.1801,36.24,50.66,49.34,5.21,49.71,30.77,69.23,-0.0084,-0.0656
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,50.72,1782,0.0,0.0,50.13,24.64,75.36,35.97,49.78,30.47,69.53,0.179,0.0431
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,30.5,282,9.9942,2.902,83.39,65.25,34.75,0.35,53.55,67.73,32.27,-0.2518,0.3376
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,8.24,3276,3.5924,1.1178,62.78,54.12,45.88,7.11,51.5,44.17,55.83,-0.0504,0.0293
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,50.72,414,-9.3136,-2.7905,17.25,75.36,24.64,1.21,56.04,41.55,58.45,-0.5559,0.0897
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.8,4297,-3.7648,-1.1802,36.23,52.9,47.1,14.48,48.41,33.7,66.3,-0.0485,-0.1963
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,70.04,1782,0.0,0.0,50.13,14.98,85.02,42.99,49.55,33.33,66.67,0.4542,0.0109
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,51.06,282,9.9942,2.902,83.39,75.53,24.47,1.42,51.77,75.18,24.82,-0.6856,1.0704
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,12.08,3276,3.5924,1.1178,62.78,56.04,43.96,18.47,53.63,50.24,49.76,-0.1133,0.145
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,65.7,414,-9.3136,-2.7905,17.25,82.85,17.15,7.25,55.31,40.34,59.66,-0.8572,0.4129
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,6.58,4297,-3.7648,-1.1802,36.23,53.29,46.71,21.55,48.13,34.86,65.14,-0.0763,-0.3254
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,76.08,1781,0.0,0.0,50.12,11.96,88.04,44.92,49.97,33.24,66.76,0.6193,0.109
中值,middle,短期拉伸/回归,中值上侧极端,5,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,61.7,282,9.9942,2.902,83.39,80.85,19.15,4.61,47.87,78.37,21.63,-0.9696,1.9358
中值,middle,短期拉伸/回归,中值上侧偏离,5,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,11.14,3275,3.593,1.1182,62.78,55.57,44.43,28.15,54.14,52.52,47.48,-0.1317,0.167
中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,78.74,414,-9.3136,-2.7905,17.25,89.37,10.63,24.4,47.83,42.75,57.25,-1.4106,0.0057
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.84,4297,-3.7648,-1.1802,36.23,54.92,45.08,32.98,46.22,34.7,65.3,-0.1144,-0.6024
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,80.08,1778,0.0,0.0,50.13,9.96,90.04,47.81,48.93,36.16,63.84,0.7793,0.0999
中值,middle,短期拉伸/回归,中值上侧极端,10,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,79.44,282,9.9942,2.902,83.39,89.72,10.28,16.67,44.68,86.52,13.48,-1.6957,3.747
中值,middle,短期拉伸/回归,中值上侧偏离,10,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,11.16,3273,3.5932,1.1182,62.79,55.58,44.42,43.57,55.15,54.78,45.22,-0.12,0.4727
