kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.12,1593,-15.0353,-6.1793,27.09,43.44,56.56,0.06,49.78,35.78,64.22,0.1013,0.0083
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.72,578,-3.4496,-1.4004,49.2,44.64,55.36,6.57,48.1,34.95,65.05,0.0773,0.0158
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,54.68,278,0.0116,0.0029,54.79,22.66,77.34,37.77,53.96,34.17,65.83,0.1666,0.0552
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.74,808,21.3451,4.6313,80.61,49.13,50.87,0.0,51.49,45.67,54.33,0.0131,0.0763
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.0,550,3.5892,1.2704,62.61,56.0,44.0,5.27,56.36,36.36,63.64,-0.0548,-0.0943
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,6.96,1593,-15.0353,-6.1793,27.09,46.52,53.48,0.38,49.53,40.11,59.89,0.0927,0.0189
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.38,578,-3.4496,-1.4004,49.2,44.81,55.19,13.84,48.62,40.48,59.52,0.1276,0.0445
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,71.84,277,0.0068,0.001,54.78,14.08,85.92,45.49,51.99,33.21,66.79,0.3856,0.1988
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.5,808,21.3451,4.6313,80.61,50.25,49.75,0.0,50.87,50.25,49.75,-0.0016,0.2325
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.74,549,3.5952,1.2727,62.63,55.37,44.63,14.75,59.56,42.62,57.38,-0.1229,-0.3143
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,1.82,1593,-15.0353,-6.1793,27.09,49.09,50.91,0.82,50.41,42.94,57.06,0.0253,0.0659
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,18.68,578,-3.4496,-1.4004,49.2,40.66,59.34,18.51,47.4,38.24,61.76,0.1945,-0.1701
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,72.46,276,0.0054,0.0009,54.76,13.77,86.23,45.29,52.17,34.78,65.22,0.4966,0.1147
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.18,808,21.3451,4.6313,80.61,53.59,46.41,0.0,50.99,52.72,47.28,-0.1461,0.3937
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.56,548,3.6105,1.2735,62.61,51.28,48.72,20.8,57.48,40.33,59.67,-0.0234,-0.2823
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.32,1593,-15.0353,-6.1793,27.09,51.66,48.34,1.88,49.22,44.88,55.12,-0.1216,0.0797
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,30.44,578,-3.4496,-1.4004,49.2,34.78,65.22,23.36,46.89,38.24,61.76,0.5289,-0.5199
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,81.68,273,0.0039,0.0008,54.73,9.16,90.84,40.66,45.42,33.33,66.67,0.8928,-0.031
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,15.1,808,21.3451,4.6313,80.61,57.55,42.45,1.49,52.35,54.33,45.67,-0.4444,0.7248
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,0.74,546,3.6105,1.2735,62.61,50.37,49.63,24.73,58.42,42.12,57.88,-0.0189,-0.1313
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,31.42,140,-8.1746,-2.7797,14.46,65.71,34.29,0.71,53.57,38.57,61.43,-0.2015,0.2071
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.84,1666,-3.4509,-1.1961,33.07,50.42,49.58,4.98,48.32,33.19,66.81,-0.0066,-0.0149
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,55.36,560,-0.052,-0.0196,51.39,22.32,77.68,35.71,47.68,35.54,64.46,0.2488,0.0354
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,35.96,178,8.6963,2.6146,88.17,67.98,32.02,0.0,58.99,55.06,44.94,-0.2599,-0.313
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,6.74,1263,3.5071,1.193,65.05,53.37,46.63,6.33,51.78,42.12,57.88,-0.0417,0.0626
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,68.58,140,-8.1746,-2.7797,14.46,84.29,15.71,5.71,62.14,46.43,53.57,-0.8298,0.7613
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.6,1664,-3.4553,-1.1966,33.07,49.7,50.3,13.28,47.6,37.5,62.5,0.0044,-0.0916
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,74.64,560,-0.052,-0.0196,51.39,12.68,87.32,43.57,47.68,35.18,64.82,0.5194,0.2523
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,52.8,178,8.6963,2.6146,88.17,76.4,23.6,1.69,57.3,62.36,37.64,-0.6346,-0.5928
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.94,1263,3.5071,1.193,65.05,52.97,47.03,18.05,51.7,48.14,51.86,-0.055,0.1079
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,85.72,140,-8.1746,-2.7797,14.46,92.86,7.14,12.86,62.14,49.29,50.71,-1.1976,1.4499
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.02,1663,-3.4597,-1.1967,33.09,50.51,49.49,21.35,49.61,38.18,61.82,-0.0175,-0.0856
