kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.68,1301,-26.4291,-7.4194,31.94,42.66,57.34,0.23,48.96,33.59,66.41,0.1049,-0.0355
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.84,284,-6.0949,-1.4789,63.06,39.08,60.92,5.28,41.9,38.73,61.27,0.1258,-0.0987
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,52.22,113,0.1667,0.0454,70.99,23.89,76.11,46.02,58.41,34.51,65.49,0.1883,0.1586
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.46,442,24.1867,3.8761,88.13,49.77,50.23,0.0,52.49,45.7,54.3,0.0056,-0.0106
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,7.78,373,6.8903,1.4218,77.14,46.11,53.89,4.29,48.26,40.21,59.79,0.0506,0.0886
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,9.46,1301,-26.4291,-7.4194,31.94,45.27,54.73,0.69,48.19,34.51,65.49,0.151,-0.104
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.84,284,-6.0949,-1.4789,63.06,39.08,60.92,14.79,46.13,41.9,58.1,0.2006,0.1001
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,82.3,113,0.1667,0.0454,70.99,8.85,91.15,47.79,51.33,39.82,60.18,0.5088,-0.6089
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,11.82,440,24.0097,3.8704,88.08,55.91,44.09,0.0,53.41,50.68,49.32,-0.1639,0.0591
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,0.8,373,6.8903,1.4218,77.14,49.6,50.4,10.46,52.55,45.84,54.16,0.0127,0.1293
