kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.24,871,-43.6892,-9.2581,44.74,39.38,60.62,0.0,48.68,38.23,61.77,0.1485,-0.0311
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.78,167,-10.2118,-1.3649,64.49,46.11,53.89,4.79,48.5,32.34,67.66,0.0552,-0.0759
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,70.0,40,-0.0589,-0.0065,77.69,15.0,85.0,45.0,52.5,50.0,50.0,0.3511,0.5536
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.74,268,74.3098,4.3316,93.1,49.63,50.37,0.0,51.87,43.66,56.34,0.0034,0.2948
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,2.18,92,15.7031,1.4234,71.97,51.09,48.91,8.7,53.26,44.57,55.43,-0.0095,-0.4151
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.46,869,-43.7777,-9.2676,44.69,41.77,58.23,0.12,47.64,39.13,60.87,0.2381,-0.0894
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,26.94,167,-10.2118,-1.3649,64.49,36.53,63.47,8.98,42.51,42.51,57.49,0.2789,-0.3612
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,75.0,40,-0.0589,-0.0065,77.69,12.5,87.5,47.5,55.0,40.0,60.0,0.5704,3.2624
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.46,268,74.3098,4.3316,93.1,53.73,46.27,0.37,52.24,50.0,50.0,-0.0557,0.5547
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,4.34,92,15.7031,1.4234,71.97,52.17,47.83,13.04,54.35,57.61,42.39,-0.0672,-0.4287
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.26,867,-43.8019,-9.2985,44.68,41.87,58.13,0.35,44.52,40.37,59.63,0.3669,-0.1627
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,28.14,167,-10.2118,-1.3649,64.49,35.93,64.07,9.58,41.32,46.11,53.89,0.3556,-0.6231
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,70.0,40,-0.0589,-0.0065,77.69,15.0,85.0,50.0,55.0,42.5,57.5,0.696,3.5082
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.22,268,74.3098,4.3316,93.1,52.61,47.39,1.12,50.75,52.24,47.76,-0.103,1.0325
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,6.52,92,15.7031,1.4234,71.97,53.26,46.74,17.39,51.09,51.09,48.91,-0.0464,-0.1399
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.36,862,-43.9105,-9.3568,44.48,44.32,55.68,1.74,43.97,42.58,57.42,0.5333,0.143
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,41.32,167,-10.2118,-1.3649,64.49,29.34,70.66,13.77,38.32,47.31,52.69,0.8671,-0.1195
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,80.0,40,-0.0589,-0.0065,77.69,10.0,90.0,55.0,55.0,40.0,60.0,0.9878,2.5791
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,14.18,268,74.3098,4.3316,93.1,57.09,42.91,2.24,52.61,52.99,47.01,-0.3302,2.2537
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,2.18,92,15.7031,1.4234,71.97,51.09,48.91,32.61,61.96,47.83,52.17,-0.0507,-4.3875
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,2.5,80,-21.8751,-2.8547,19.29,51.25,48.75,0.0,46.25,26.25,73.75,-0.0284,0.0961
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.98,719,-10.009,-1.291,42.61,49.51,50.49,4.73,48.4,33.8,66.2,0.0012,-0.2298
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,60.94,215,-0.098,-0.0133,60.02,19.53,80.47,40.0,51.16,40.47,59.53,0.2368,0.2191
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,41.38,116,21.1799,2.2173,91.07,70.69,29.31,0.86,56.03,61.21,38.79,-0.2277,-0.3453
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,10.38,308,9.3434,1.0225,73.99,55.19,44.81,7.47,50.97,46.43,53.57,-0.1021,0.5641
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,32.5,80,-21.8751,-2.8547,19.29,66.25,33.75,1.25,45.0,26.25,73.75,-0.495,0.9778
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.42,717,-10.0027,-1.2883,42.62,50.21,49.79,13.39,47.84,31.38,68.62,-0.0018,-0.4608
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,69.3,215,-0.098,-0.0133,60.02,15.35,84.65,46.05,54.42,46.51,53.49,0.4949,0.4214
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,60.34,116,21.1799,2.2173,91.07,80.17,19.83,7.76,55.17,76.72,23.28,-0.6506,-1.138
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,8.44,308,9.3434,1.0225,73.99,54.22,45.78,24.03,51.95,58.12,41.88,-0.075,1.2834
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,55.0,80,-21.8751,-2.8547,19.29,77.5,22.5,7.5,53.75,27.5,72.5,-0.9553,1.1446
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.38,715,-9.9882,-1.2856,42.63,48.81,51.19,17.9,43.08,30.07,69.93,0.0312,-0.6277
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,77.68,215,-0.098,-0.0133,60.02,11.16,88.84,44.19,53.02,49.77,50.23,0.652,0.3979
中值,middle,短期拉伸/回归,中值上侧极端,5,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,60.34,116,21.1799,2.2173,91.07,80.17,19.83,14.66,52.59,79.31,20.69,-0.7475,-0.1528
中值,middle,短期拉伸/回归,中值上侧偏离,5,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.6,308,9.3434,1.0225,73.99,51.3,48.7,33.44,54.22,63.31,36.69,-0.0404,1.456
中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,87.5,80,-21.8751,-2.8547,19.29,93.75,6.25,22.5,62.5,22.5,77.5,-1.8005,4.4888
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.56,710,-9.9955,-1.2652,42.74,50.28,49.72,26.34,40.56,32.82,67.18,-0.007,-1.287
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,87.9,215,-0.098,-0.0133,60.02,6.05,93.95,49.77,53.49,50.7,49.3,0.825,0.5704
中值,middle,短期拉伸/回归,中值上侧极端,10,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,62.06,116,21.1799,2.2173,91.07,81.03,18.97,30.17,50.86,73.28,26.72,-1.2432,2.7808
中值,middle,短期拉伸/回归,中值上侧偏离,10,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.9,308,9.3434,1.0225,73.99,48.05,51.95,50.65,58.77,65.91,34.09,0.0405,1.6763
