kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.4,7512,-11.011,-5.5537,45.69,42.8,57.2,0.07,49.59,33.16,66.84,0.098,-0.001
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,9.8,2461,-2.7342,-1.3825,59,45.1,54.9,4.84,48.56,33.93,66.07,0.0549,0.0121
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,47.54,896,0.019,0.0089,63.47,26.23,73.77,34.71,50.67,31.92,68.08,0.1748,0
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,12,4693,16.259,4.8656,79.46,44,56,0.09,49.69,39.83,60.17,0.0801,0.0809
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.26,2586,3.1608,1.4726,68.1,46.87,53.13,4.22,50.04,33.95,66.05,0.0307,-0.0016
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.66,7510,-11.0122,-5.5537,45.69,44.67,55.33,0.51,49.76,35.83,64.17,0.1282,0.0057
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,14.58,2461,-2.7342,-1.3825,59,42.71,57.29,10.56,48.35,37.22,62.78,0.1381,0.0255
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,67.42,896,0.019,0.0089,63.47,16.29,83.71,38.5,47.77,35.6,64.4,0.345,0.0633
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,2.02,4693,16.259,4.8656,79.46,48.99,51.01,0.36,50.71,44.17,55.83,0.0225,0.189
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,11.3,2586,3.1608,1.4726,68.1,44.35,55.65,10.13,50.46,36.04,63.96,0.0914,0.0577
